         i                j             k               h               T              conc               kz     lz     por 
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.9374168000E-02  8.5719887000E-13  3.E+00  1.E-01
   194  1.9300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9920606000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.9400736000E-02  8.5719887000E-13  3.E+00  1.E-01
   196  1.9500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9922391000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.9426059000E-02  8.5719887000E-13  3.E+00  1.E-01
   198  1.9700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9924088000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.9450196000E-02  8.5719887000E-13  3.E+00  1.E-01
   200  1.9900000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9925701000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.9473201000E-02  8.5719887000E-13  3.E+00  1.E-01
