         i                j             k               h               T              conc               kz     lz     por 
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.4021342000E-02  8.5719887000E-13  3.E+00  1.E-01
    46  4.5000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.7261261000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.4494836000E-02  8.5719887000E-13  3.E+00  1.E-01
    48  4.7000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.7500163000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.4975560000E-02  8.5719887000E-13  3.E+00  1.E-01
    50  4.9000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.7712239000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.5460395000E-02  8.5719887000E-13  3.E+00  1.E-01
    52  5.1000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.7900935000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.5946537000E-02  8.5719887000E-13  3.E+00  1.E-01
    54  5.3000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.8069235000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.6431498000E-02  8.5719887000E-13  3.E+00  1.E-01
    56  5.5000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.8219722000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.6913094000E-02  8.5719887000E-13  3.E+00  1.E-01
    58  5.7000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.8354632000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.7389436000E-02  8.5719887000E-13  3.E+00  1.E-01
    60  5.9000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.8475899000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.7858907000E-02  8.5719887000E-13  3.E+00  1.E-01
    62  6.1000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.8585196000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.8320139000E-02  8.5719887000E-13  3.E+00  1.E-01
    64  6.3000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.8683969000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.8771997000E-02  8.5719887000E-13  3.E+00  1.E-01
    66  6.5000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.8773474000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.9213550000E-02  8.5719887000E-13  3.E+00  1.E-01
    68  6.7000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.8854796000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.9644053000E-02  8.5719887000E-13  3.E+00  1.E-01
    70  6.9000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.8928878000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.0062926000E-02  8.5719887000E-13  3.E+00  1.E-01
    72  7.1000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.8996537000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.0469735000E-02  8.5719887000E-13  3.E+00  1.E-01
    74  7.3000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9058487000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.0864171000E-02  8.5719887000E-13  3.E+00  1.E-01
    76  7.5000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9115347000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.1246038000E-02  8.5719887000E-13  3.E+00  1.E-01
    78  7.7000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9167656000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.1615236000E-02  8.5719887000E-13  3.E+00  1.E-01
    80  7.9000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9215888000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.1971745000E-02  8.5719887000E-13  3.E+00  1.E-01
    82  8.1000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9260455000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.2315619000E-02  8.5719887000E-13  3.E+00  1.E-01
    84  8.3000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9301720000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.2646968000E-02  8.5719887000E-13  3.E+00  1.E-01
    86  8.5000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9340002000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.2965955000E-02  8.5719887000E-13  3.E+00  1.E-01
    88  8.7000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9375580000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.3272783000E-02  8.5719887000E-13  3.E+00  1.E-01
    90  8.9000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9408703000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.3567689000E-02  8.5719887000E-13  3.E+00  1.E-01
    92  9.1000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9439589000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.3850938000E-02  8.5719887000E-13  3.E+00  1.E-01
    94  9.3000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9468433000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.4122818000E-02  8.5719887000E-13  3.E+00  1.E-01
    96  9.5000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9495407000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.4383632000E-02  8.5719887000E-13  3.E+00  1.E-01
    98  9.7000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9520665000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.4633698000E-02  8.5719887000E-13  3.E+00  1.E-01
   100  9.9000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9544345000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.4873341000E-02  8.5719887000E-13  3.E+00  1.E-01
   102  1.0100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9566571000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.5102892000E-02  8.5719887000E-13  3.E+00  1.E-01
   104  1.0300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9587452000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.5322686000E-02  8.5719887000E-13  3.E+00  1.E-01
   106  1.0500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9607089000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.5533059000E-02  8.5719887000E-13  3.E+00  1.E-01
   108  1.0700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9625573000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.5734344000E-02  8.5719887000E-13  3.E+00  1.E-01
   110  1.0900000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9642985000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.5926873000E-02  8.5719887000E-13  3.E+00  1.E-01
   112  1.1100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9659398000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.6110974000E-02  8.5719887000E-13  3.E+00  1.E-01
   114  1.1300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9674882000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.6286967000E-02  8.5719887000E-13  3.E+00  1.E-01
   116  1.1500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9689498000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.6455168000E-02  8.5719887000E-13  3.E+00  1.E-01
   118  1.1700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9703301000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.6615886000E-02  8.5719887000E-13  3.E+00  1.E-01
   120  1.1900000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9716345000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.6769422000E-02  8.5719887000E-13  3.E+00  1.E-01
   122  1.2100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9728676000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.6916068000E-02  8.5719887000E-13  3.E+00  1.E-01
   124  1.2300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9740340000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.7056109000E-02  8.5719887000E-13  3.E+00  1.E-01
   126  1.2500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9751375000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.7189820000E-02  8.5719887000E-13  3.E+00  1.E-01
   128  1.2700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9761821000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.7317468000E-02  8.5719887000E-13  3.E+00  1.E-01
   130  1.2900000000E+01     2     0   0   1   0   0   0
