% Shemat-Suite version: Shem-FW/AD/SM 7.50 (Smarty)                                                     
%          build: Do 18. Apr 09:27:33 CEST 2019           
%   build command line: gmake fw nohdf PROPS=basc COMPTYPE=ling64                                                                                                                                                                                                                       
%        Project: "salt_small"
%
% <time step> <deltat> <cum time>
%    <iteration> <delta head> <delta temp> (<delta conc> ...)
         12  0.17711415E-07  0.10000000E-20 -0.10624834E-12
         13 -0.20702643E-07  0.10000000E-20 -0.89692143E-13
         14 -0.13648091E-07  0.10000000E-20  0.11568524E-12
         15  0.17813342E-07  0.10000000E-20 -0.96866959E-13
         16 -0.40880792E-08  0.10000000E-20 -0.81171181E-13
       5  0.155520E+06  0.640000E+01
          1 -0.72703301E-08  0.10000000E-20 -0.25557214E-01
          2  0.83787766E-03  0.10000000E-20 -0.10620073E-03
          3  0.44319515E-05  0.10000000E-20 -0.61793556E-06
          4  0.48464678E-07  0.10000000E-20 -0.70075850E-08
          5 -0.41618868E-07  0.10000000E-20 -0.57319781E-10
          6  0.20802581E-07  0.10000000E-20 -0.57023830E-12
          7  0.12508934E-07  0.10000000E-20 -0.11764201E-12
          8  0.18841696E-07  0.10000000E-20  0.11539381E-12
          9 -0.31016860E-07  0.10000000E-20  0.89303565E-13
         10  0.12174802E-07  0.10000000E-20 -0.10647039E-12
         11  0.68158954E-08  0.10000000E-20  0.83627549E-13
         12 -0.23514524E-07  0.10000000E-20  0.73857587E-13
         13  0.92716732E-08  0.10000000E-20 -0.91093799E-13
         14  0.11018741E-08  0.10000000E-20  0.80546680E-13
         15 -0.63009651E-08  0.10000000E-20  0.75675577E-13
         16 -0.97090478E-08  0.10000000E-20  0.64157013E-13
         17 -0.51099533E-08  0.10000000E-20 -0.11825263E-12
         18  0.86121972E-08  0.10000000E-20  0.46310178E-13
         19 -0.12069940E-07  0.10000000E-20 -0.80893625E-13
         20  0.20105738E-07  0.10000000E-20  0.65419892E-13
         21  0.44913406E-08  0.10000000E-20 -0.93244856E-13
         22 -0.57465144E-08  0.10000000E-20  0.84571239E-13
         23 -0.85702396E-08  0.10000000E-20 -0.81143425E-13
         24  0.23305020E-08  0.10000000E-20 -0.71290196E-13
         25 -0.23015971E-08  0.10000000E-20 -0.74662498E-13
         26  0.74569257E-08  0.10000000E-20  0.63532513E-13
         27 -0.11758061E-08  0.10000000E-20 -0.58134053E-13
         28 -0.28608369E-08  0.10000000E-20  0.62588823E-13
         29 -0.13161916E-07  0.10000000E-20  0.98629438E-13
         30 -0.33723495E-08  0.10000000E-20 -0.67237882E-13
