% Shemat-Suite version: 7.50 (Smarty)                                                                   
% data fit at iteration       1             
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
   180     1    59        5        2     0.22348556E+02  0.23776940E+02  0.50000000E+00 -0.14283835E+01 -0.28567671E+01  0.00000000E+00     1
   180     1    58        5        2     0.25696149E+02  0.25783595E+02  0.50000000E+00 -0.87445485E-01 -0.17489097E+00  0.00000000E+00     1
   180     1    57        5        2     0.29041801E+02  0.29646434E+02  0.50000000E+00 -0.60463341E+00 -0.12092668E+01  0.00000000E+00     1
   180     1    56        5        2     0.32384515E+02  0.32898073E+02  0.50000000E+00 -0.51355846E+00 -0.10271169E+01  0.00000000E+00     1
   180     1    55        5        2     0.35723270E+02  0.37044152E+02  0.50000000E+00 -0.13208818E+01 -0.26417637E+01  0.00000000E+00     1
   180     1    54        5        2     0.39057012E+02  0.40195831E+02  0.50000000E+00 -0.11388186E+01 -0.22776373E+01  0.00000000E+00     1
   180     1    53        5        2     0.42384641E+02  0.43200412E+02  0.50000000E+00 -0.81577086E+00 -0.16315417E+01  0.00000000E+00     1
   180     1    52        4        2     0.46123665E+02  0.47334515E+02  0.50000000E+00 -0.12108495E+01 -0.24216991E+01  0.00000000E+00     1
   180     1    51        4        2     0.50286508E+02  0.50466391E+02  0.50000000E+00 -0.17988339E+00 -0.35976678E+00  0.00000000E+00     1
   180     1    50        3        2     0.53738788E+02  0.54350216E+02  0.50000000E+00 -0.61142808E+00 -0.12228562E+01  0.00000000E+00     1
   180     1    49        3        2     0.56421888E+02  0.56976373E+02  0.50000000E+00 -0.55448442E+00 -0.11089688E+01  0.00000000E+00     1
   180     1    48        3        2     0.59049696E+02  0.60200081E+02  0.50000000E+00 -0.11503845E+01 -0.23007690E+01  0.00000000E+00     1
   180     1    47        3        2     0.61620554E+02  0.62169305E+02  0.50000000E+00 -0.54875115E+00 -0.10975023E+01  0.00000000E+00     1
   180     1    46        3        2     0.64133078E+02  0.64351833E+02  0.50000000E+00 -0.21875549E+00 -0.43751098E+00  0.00000000E+00     1
   180     1    45        3        2     0.66586158E+02  0.66047039E+02  0.50000000E+00  0.53911914E+00  0.10782383E+01  0.00000000E+00     1
   180     1    44        3        2     0.68978952E+02  0.68311372E+02  0.50000000E+00  0.66758031E+00  0.13351606E+01  0.00000000E+00     1
   180     1    43        3        2     0.71310880E+02  0.71616565E+02  0.50000000E+00 -0.30568509E+00 -0.61137018E+00  0.00000000E+00     1
   180     1    42        3        2     0.73581619E+02  0.73190501E+02  0.50000000E+00  0.39111764E+00  0.78223527E+00  0.00000000E+00     1
   180     1    41        3        2     0.75791090E+02  0.75583872E+02  0.50000000E+00  0.20721814E+00  0.41443628E+00  0.00000000E+00     1
   180     1    40        3        2     0.77939452E+02  0.77377983E+02  0.50000000E+00  0.56146901E+00  0.11229380E+01  0.00000000E+00     1
   180     1    39        3        2     0.80027086E+02  0.79956091E+02  0.50000000E+00  0.70995486E-01  0.14199097E+00  0.00000000E+00     1
   180     1    38        3        2     0.82054585E+02  0.81976424E+02  0.50000000E+00  0.78161562E-01  0.15632312E+00  0.00000000E+00     1
   180     1    37        3        2     0.84022736E+02  0.84677049E+02  0.50000000E+00 -0.65431253E+00 -0.13086251E+01  0.00000000E+00     1
   180     1    36        3        2     0.85932503E+02  0.86601439E+02  0.50000000E+00 -0.66893571E+00 -0.13378714E+01  0.00000000E+00     1
   180     1    35        3        2     0.87785010E+02  0.88057502E+02  0.50000000E+00 -0.27249253E+00 -0.54498505E+00  0.00000000E+00     1
   180     1    34        3        2     0.89581519E+02  0.89850152E+02  0.50000000E+00 -0.26863239E+00 -0.53726478E+00  0.00000000E+00     1
   180     1    33        3        2     0.91323413E+02  0.90453136E+02  0.50000000E+00  0.87027703E+00  0.17405541E+01  0.00000000E+00     1
   180     1    32        3        2     0.93012169E+02  0.93355181E+02  0.50000000E+00 -0.34301177E+00 -0.68602354E+00  0.00000000E+00     1
   180     1    31        3        2     0.94649338E+02  0.93876601E+02  0.50000000E+00  0.77273768E+00  0.15454754E+01  0.00000000E+00     1
   180     1    30        3        2     0.96236523E+02  0.95129860E+02  0.50000000E+00  0.11066634E+01  0.22133268E+01  0.00000000E+00     1
   180     1    29        3        2     0.97775352E+02  0.99048400E+02  0.50000000E+00 -0.12730478E+01 -0.25460955E+01  0.00000000E+00     1
   180     1    28        3        2     0.99267457E+02  0.99115197E+02  0.50000000E+00  0.15226046E+00  0.30452091E+00  0.00000000E+00     1
   180     1    27        3        2     0.10071445E+03  0.10007130E+03  0.50000000E+00  0.64315281E+00  0.12863056E+01  0.00000000E+00     1
   180     1    26        3        2     0.10211792E+03  0.10181136E+03  0.50000000E+00  0.30655871E+00  0.61311742E+00  0.00000000E+00     1
   180     1    25        3        2     0.10347938E+03  0.10320562E+03  0.50000000E+00  0.27375712E+00  0.54751424E+00  0.00000000E+00     1
   180     1    24        3        2     0.10480029E+03  0.10346024E+03  0.50000000E+00  0.13400554E+01  0.26801107E+01  0.00000000E+00     1
   180     1    23        3        2     0.10608204E+03  0.10542330E+03  0.50000000E+00  0.65873111E+00  0.13174622E+01  0.00000000E+00     1
   180     1    22        3        2     0.10732594E+03  0.10729449E+03  0.50000000E+00  0.31452824E-01  0.62905648E-01  0.00000000E+00     1
   180     1    21        3        2     0.10853331E+03  0.10826049E+03  0.50000000E+00  0.27282004E+00  0.54564008E+00  0.00000000E+00     1
