% Shemat-Suite version: 7.50 (Smarty)                                                                   
% data fit at iteration       3             
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
   180     1    59        5        2     0.22576660E+02  0.23776940E+02  0.50000000E+00 -0.12002797E+01 -0.24005594E+01  0.00000000E+00     1
   180     1    58        5        2     0.26140137E+02  0.25783595E+02  0.50000000E+00  0.35654220E+00  0.71308441E+00  0.00000000E+00     1
   180     1    57        5        2     0.29677247E+02  0.29646434E+02  0.50000000E+00  0.30812819E-01  0.61625638E-01  0.00000000E+00     1
   180     1    56        5        2     0.33174825E+02  0.32898073E+02  0.50000000E+00  0.27675212E+00  0.55350423E+00  0.00000000E+00     1
   180     1    55        5        2     0.36619748E+02  0.37044152E+02  0.50000000E+00 -0.42440385E+00 -0.84880770E+00  0.00000000E+00     1
   180     1    54        5        2     0.39998965E+02  0.40195831E+02  0.50000000E+00 -0.19686528E+00 -0.39373056E+00  0.00000000E+00     1
   180     1    53        5        2     0.43299543E+02  0.43200412E+02  0.50000000E+00  0.99131431E-01  0.19826286E+00  0.00000000E+00     1
   180     1    52        4        2     0.46913358E+02  0.47334515E+02  0.50000000E+00 -0.42115607E+00 -0.84231214E+00  0.00000000E+00     1
   180     1    51        4        2     0.50935121E+02  0.50466391E+02  0.50000000E+00  0.46873029E+00  0.93746057E+00  0.00000000E+00     1
   180     1    50        3        2     0.54269585E+02  0.54350216E+02  0.50000000E+00 -0.80631311E-01 -0.16126262E+00  0.00000000E+00     1
   180     1    49        3        2     0.56864785E+02  0.56976373E+02  0.50000000E+00 -0.11158824E+00 -0.22317648E+00  0.00000000E+00     1
   180     1    48        3        2     0.59410440E+02  0.60200081E+02  0.50000000E+00 -0.78964098E+00 -0.15792820E+01  0.00000000E+00     1
   180     1    47        3        2     0.61905045E+02  0.62169305E+02  0.50000000E+00 -0.26426019E+00 -0.52852037E+00  0.00000000E+00     1
   180     1    46        3        2     0.64347271E+02  0.64351833E+02  0.50000000E+00 -0.45625686E-02 -0.91251372E-02  0.00000000E+00     1
   180     1    45        3        2     0.66735976E+02  0.66047039E+02  0.50000000E+00  0.68893672E+00  0.13778734E+01  0.00000000E+00     1
   180     1    44        3        2     0.69070211E+02  0.68311372E+02  0.50000000E+00  0.75883936E+00  0.15176787E+01  0.00000000E+00     1
   180     1    43        3        2     0.71349230E+02  0.71616565E+02  0.50000000E+00 -0.26733565E+00 -0.53467131E+00  0.00000000E+00     1
   180     1    42        3        2     0.73572489E+02  0.73190501E+02  0.50000000E+00  0.38198825E+00  0.76397650E+00  0.00000000E+00     1
   180     1    41        3        2     0.75739655E+02  0.75583872E+02  0.50000000E+00  0.15578334E+00  0.31156668E+00  0.00000000E+00     1
   180     1    40        3        2     0.77850598E+02  0.77377983E+02  0.50000000E+00  0.47261580E+00  0.94523160E+00  0.00000000E+00     1
   180     1    39        3        2     0.79905395E+02  0.79956091E+02  0.50000000E+00 -0.50695367E-01 -0.10139073E+00  0.00000000E+00     1
   180     1    38        3        2     0.81904320E+02  0.81976424E+02  0.50000000E+00 -0.72104135E-01 -0.14420827E+00  0.00000000E+00     1
   180     1    37        3        2     0.83847836E+02  0.84677049E+02  0.50000000E+00 -0.82921287E+00 -0.16584257E+01  0.00000000E+00     1
   180     1    36        3        2     0.85736587E+02  0.86601439E+02  0.50000000E+00 -0.86485180E+00 -0.17297036E+01  0.00000000E+00     1
   180     1    35        3        2     0.87571382E+02  0.88057502E+02  0.50000000E+00 -0.48612043E+00 -0.97224086E+00  0.00000000E+00     1
   180     1    34        3        2     0.89353179E+02  0.89850152E+02  0.50000000E+00 -0.49697281E+00 -0.99394561E+00  0.00000000E+00     1
   180     1    33        3        2     0.91083068E+02  0.90453136E+02  0.50000000E+00  0.62993232E+00  0.12598646E+01  0.00000000E+00     1
   180     1    32        3        2     0.92762253E+02  0.93355181E+02  0.50000000E+00 -0.59292768E+00 -0.11858554E+01  0.00000000E+00     1
   180     1    31        3        2     0.94392027E+02  0.93876601E+02  0.50000000E+00  0.51542627E+00  0.10308525E+01  0.00000000E+00     1
   180     1    30        3        2     0.95973754E+02  0.95129860E+02  0.50000000E+00  0.84389375E+00  0.16877875E+01  0.00000000E+00     1
   180     1    29        3        2     0.97508842E+02  0.99048400E+02  0.50000000E+00 -0.15395573E+01 -0.30791145E+01  0.00000000E+00     1
   180     1    28        3        2     0.98998727E+02  0.99115197E+02  0.50000000E+00 -0.11646932E+00 -0.23293863E+00  0.00000000E+00     1
   180     1    27        3        2     0.10044485E+03  0.10007130E+03  0.50000000E+00  0.37354346E+00  0.74708693E+00  0.00000000E+00     1
   180     1    26        3        2     0.10184861E+03  0.10181136E+03  0.50000000E+00  0.37251347E-01  0.74502695E-01  0.00000000E+00     1
   180     1    25        3        2     0.10321142E+03  0.10320562E+03  0.50000000E+00  0.57934945E-02  0.11586989E-01  0.00000000E+00     1
   180     1    24        3        2     0.10453459E+03  0.10346024E+03  0.50000000E+00  0.10743562E+01  0.21487125E+01  0.00000000E+00     1
   180     1    23        3        2     0.10581942E+03  0.10542330E+03  0.50000000E+00  0.39611454E+00  0.79222908E+00  0.00000000E+00     1
   180     1    22        3        2     0.10706714E+03  0.10729449E+03  0.50000000E+00 -0.22734819E+00 -0.45469638E+00  0.00000000E+00     1
   180     1    21        3        2     0.10827899E+03  0.10826049E+03  0.50000000E+00  0.18499930E-01  0.36999860E-01  0.00000000E+00     1
