% Shemat-Suite version: 7.50 (Smarty)                                                                   
% data fit at iteration       5             
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
   180     1    59        5        2     0.22584092E+02  0.23776940E+02  0.50000000E+00 -0.11928478E+01 -0.23856957E+01  0.00000000E+00     1
   180     1    58        5        2     0.26154581E+02  0.25783595E+02  0.50000000E+00  0.37098586E+00  0.74197171E+00  0.00000000E+00     1
   180     1    57        5        2     0.29697854E+02  0.29646434E+02  0.50000000E+00  0.51419726E-01  0.10283945E+00  0.00000000E+00     1
   180     1    56        5        2     0.33200302E+02  0.32898073E+02  0.50000000E+00  0.30222909E+00  0.60445818E+00  0.00000000E+00     1
   180     1    55        5        2     0.36648335E+02  0.37044152E+02  0.50000000E+00 -0.39581674E+00 -0.79163348E+00  0.00000000E+00     1
   180     1    54        5        2     0.40028410E+02  0.40195831E+02  0.50000000E+00 -0.16742084E+00 -0.33484168E+00  0.00000000E+00     1
   180     1    53        5        2     0.43327071E+02  0.43200412E+02  0.50000000E+00  0.12665938E+00  0.25331875E+00  0.00000000E+00     1
   180     1    52        4        2     0.46934986E+02  0.47334515E+02  0.50000000E+00 -0.39952879E+00 -0.79905758E+00  0.00000000E+00     1
   180     1    51        4        2     0.50950194E+02  0.50466391E+02  0.50000000E+00  0.48380286E+00  0.96760572E+00  0.00000000E+00     1
   180     1    50        3        2     0.54279241E+02  0.54350216E+02  0.50000000E+00 -0.70975527E-01 -0.14195105E+00  0.00000000E+00     1
   180     1    49        3        2     0.56870511E+02  0.56976373E+02  0.50000000E+00 -0.10586171E+00 -0.21172343E+00  0.00000000E+00     1
   180     1    48        3        2     0.59412599E+02  0.60200081E+02  0.50000000E+00 -0.78748112E+00 -0.15749622E+01  0.00000000E+00     1
   180     1    47        3        2     0.61903994E+02  0.62169305E+02  0.50000000E+00 -0.26531097E+00 -0.53062193E+00  0.00000000E+00     1
   180     1    46        3        2     0.64343355E+02  0.64351833E+02  0.50000000E+00 -0.84786074E-02 -0.16957215E-01  0.00000000E+00     1
   180     1    45        3        2     0.66729526E+02  0.66047039E+02  0.50000000E+00  0.68248685E+00  0.13649737E+01  0.00000000E+00     1
   180     1    44        3        2     0.69061542E+02  0.68311372E+02  0.50000000E+00  0.75017048E+00  0.15003410E+01  0.00000000E+00     1
   180     1    43        3        2     0.71338638E+02  0.71616565E+02  0.50000000E+00 -0.27792726E+00 -0.55585452E+00  0.00000000E+00     1
   180     1    42        3        2     0.73560251E+02  0.73190501E+02  0.50000000E+00  0.36975027E+00  0.73950054E+00  0.00000000E+00     1
   180     1    41        3        2     0.75726026E+02  0.75583872E+02  0.50000000E+00  0.14215460E+00  0.28430920E+00  0.00000000E+00     1
   180     1    40        3        2     0.77835813E+02  0.77377983E+02  0.50000000E+00  0.45783083E+00  0.91566166E+00  0.00000000E+00     1
   180     1    39        3        2     0.79889668E+02  0.79956091E+02  0.50000000E+00 -0.66423064E-01 -0.13284613E+00  0.00000000E+00     1
   180     1    38        3        2     0.81887842E+02  0.81976424E+02  0.50000000E+00 -0.88581674E-01 -0.17716335E+00  0.00000000E+00     1
   180     1    37        3        2     0.83830782E+02  0.84677049E+02  0.50000000E+00 -0.84626733E+00 -0.16925347E+01  0.00000000E+00     1
   180     1    36        3        2     0.85719110E+02  0.86601439E+02  0.50000000E+00 -0.88232931E+00 -0.17646586E+01  0.00000000E+00     1
   180     1    35        3        2     0.87553617E+02  0.88057502E+02  0.50000000E+00 -0.50388513E+00 -0.10077703E+01  0.00000000E+00     1
   180     1    34        3        2     0.89335246E+02  0.89850152E+02  0.50000000E+00 -0.51490568E+00 -0.10298114E+01  0.00000000E+00     1
   180     1    33        3        2     0.91065071E+02  0.90453136E+02  0.50000000E+00  0.61193473E+00  0.12238695E+01  0.00000000E+00     1
   180     1    32        3        2     0.92744280E+02  0.93355181E+02  0.50000000E+00 -0.61090084E+00 -0.12218017E+01  0.00000000E+00     1
   180     1    31        3        2     0.94374155E+02  0.93876601E+02  0.50000000E+00  0.49755371E+00  0.99510742E+00  0.00000000E+00     1
   180     1    30        3        2     0.95956046E+02  0.95129860E+02  0.50000000E+00  0.82618629E+00  0.16523726E+01  0.00000000E+00     1
   180     1    29        3        2     0.97491354E+02  0.99048400E+02  0.50000000E+00 -0.15570455E+01 -0.31140910E+01  0.00000000E+00     1
   180     1    28        3        2     0.98981503E+02  0.99115197E+02  0.50000000E+00 -0.13369343E+00 -0.26738686E+00  0.00000000E+00     1
   180     1    27        3        2     0.10042792E+03  0.10007130E+03  0.50000000E+00  0.35662048E+00  0.71324097E+00  0.00000000E+00     1
   180     1    26        3        2     0.10183202E+03  0.10181136E+03  0.50000000E+00  0.20659667E-01  0.41319333E-01  0.00000000E+00     1
   180     1    25        3        2     0.10319518E+03  0.10320562E+03  0.50000000E+00 -0.10442451E-01 -0.20884901E-01  0.00000000E+00     1
   180     1    24        3        2     0.10451873E+03  0.10346024E+03  0.50000000E+00  0.10584958E+01  0.21169916E+01  0.00000000E+00     1
   180     1    23        3        2     0.10580395E+03  0.10542330E+03  0.50000000E+00  0.38064561E+00  0.76129122E+00  0.00000000E+00     1
   180     1    22        3        2     0.10705208E+03  0.10729449E+03  0.50000000E+00 -0.24241232E+00 -0.48482463E+00  0.00000000E+00     1
   180     1    21        3        2     0.10826434E+03  0.10826049E+03  0.50000000E+00  0.38520493E-02  0.77040986E-02  0.00000000E+00     1
