% Shemat-Suite version: 7.50 (Smarty)                                                                   
% data fit at iteration       2             
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
   180     1    59        5        2     0.22418919E+02  0.23776940E+02  0.50000000E+00 -0.13580208E+01 -0.27160417E+01  0.00000000E+00     1
   180     1    58        5        2     0.25833221E+02  0.25783595E+02  0.50000000E+00  0.49626358E-01  0.99252715E-01  0.00000000E+00     1
   180     1    57        5        2     0.29238302E+02  0.29646434E+02  0.50000000E+00 -0.40813210E+00 -0.81626420E+00  0.00000000E+00     1
   180     1    56        5        2     0.32629596E+02  0.32898073E+02  0.50000000E+00 -0.26847753E+00 -0.53695507E+00  0.00000000E+00     1
   180     1    55        5        2     0.36002595E+02  0.37044152E+02  0.50000000E+00 -0.10415568E+01 -0.20831135E+01  0.00000000E+00     1
   180     1    54        5        2     0.39352874E+02  0.40195831E+02  0.50000000E+00 -0.84295647E+00 -0.16859129E+01  0.00000000E+00     1
   180     1    53        5        2     0.42676106E+02  0.43200412E+02  0.50000000E+00 -0.52430609E+00 -0.10486122E+01  0.00000000E+00     1
   180     1    52        4        2     0.46383166E+02  0.47334515E+02  0.50000000E+00 -0.95134828E+00 -0.19026966E+01  0.00000000E+00     1
   180     1    51        4        2     0.50509640E+02  0.50466391E+02  0.50000000E+00  0.43248792E-01  0.86497584E-01  0.00000000E+00     1
   180     1    50        3        2     0.53931330E+02  0.54350216E+02  0.50000000E+00 -0.41888633E+00 -0.83777267E+00  0.00000000E+00     1
   180     1    49        3        2     0.56591275E+02  0.56976373E+02  0.50000000E+00 -0.38509765E+00 -0.77019529E+00  0.00000000E+00     1
   180     1    48        3        2     0.59197112E+02  0.60200081E+02  0.50000000E+00 -0.10029690E+01 -0.20059381E+01  0.00000000E+00     1
   180     1    47        3        2     0.61747249E+02  0.62169305E+02  0.50000000E+00 -0.42205607E+00 -0.84411215E+00  0.00000000E+00     1
   180     1    46        3        2     0.64240348E+02  0.64351833E+02  0.50000000E+00 -0.11148489E+00 -0.22296979E+00  0.00000000E+00     1
   180     1    45        3        2     0.66675324E+02  0.66047039E+02  0.50000000E+00  0.62828541E+00  0.12565708E+01  0.00000000E+00     1
   180     1    44        3        2     0.69051340E+02  0.68311372E+02  0.50000000E+00  0.73996804E+00  0.14799361E+01  0.00000000E+00     1
   180     1    43        3        2     0.71367805E+02  0.71616565E+02  0.50000000E+00 -0.24876083E+00 -0.49752167E+00  0.00000000E+00     1
   180     1    42        3        2     0.73624370E+02  0.73190501E+02  0.50000000E+00  0.43386865E+00  0.86773731E+00  0.00000000E+00     1
   180     1    41        3        2     0.75820921E+02  0.75583872E+02  0.50000000E+00  0.23704951E+00  0.47409902E+00  0.00000000E+00     1
   180     1    40        3        2     0.77957571E+02  0.77377983E+02  0.50000000E+00  0.57958808E+00  0.11591762E+01  0.00000000E+00     1
   180     1    39        3        2     0.80034646E+02  0.79956091E+02  0.50000000E+00  0.78555840E-01  0.15711168E+00  0.00000000E+00     1
   180     1    38        3        2     0.82052681E+02  0.81976424E+02  0.50000000E+00  0.76257428E-01  0.15251486E+00  0.00000000E+00     1
   180     1    37        3        2     0.84012399E+02  0.84677049E+02  0.50000000E+00 -0.66465011E+00 -0.13293002E+01  0.00000000E+00     1
   180     1    36        3        2     0.85914698E+02  0.86601439E+02  0.50000000E+00 -0.68674118E+00 -0.13734824E+01  0.00000000E+00     1
   180     1    35        3        2     0.87760636E+02  0.88057502E+02  0.50000000E+00 -0.29686672E+00 -0.59373344E+00  0.00000000E+00     1
   180     1    34        3        2     0.89551409E+02  0.89850152E+02  0.50000000E+00 -0.29874233E+00 -0.59748465E+00  0.00000000E+00     1
   180     1    33        3        2     0.91288335E+02  0.90453136E+02  0.50000000E+00  0.83519937E+00  0.16703987E+01  0.00000000E+00     1
   180     1    32        3        2     0.92972829E+02  0.93355181E+02  0.50000000E+00 -0.38235209E+00 -0.76470418E+00  0.00000000E+00     1
   180     1    31        3        2     0.94606380E+02  0.93876601E+02  0.50000000E+00  0.72977946E+00  0.14595589E+01  0.00000000E+00     1
   180     1    30        3        2     0.96190535E+02  0.95129860E+02  0.50000000E+00  0.10606749E+01  0.21213498E+01  0.00000000E+00     1
   180     1    29        3        2     0.97726867E+02  0.99048400E+02  0.50000000E+00 -0.13215326E+01 -0.26430653E+01  0.00000000E+00     1
   180     1    28        3        2     0.99216960E+02  0.99115197E+02  0.50000000E+00  0.10176334E+00  0.20352668E+00  0.00000000E+00     1
   180     1    27        3        2     0.10066238E+03  0.10007130E+03  0.50000000E+00  0.59108165E+00  0.11821633E+01  0.00000000E+00     1
   180     1    26        3        2     0.10206467E+03  0.10181136E+03  0.50000000E+00  0.25330985E+00  0.50661970E+00  0.00000000E+00     1
   180     1    25        3        2     0.10342531E+03  0.10320562E+03  0.50000000E+00  0.21968910E+00  0.43937821E+00  0.00000000E+00     1
   180     1    24        3        2     0.10474573E+03  0.10346024E+03  0.50000000E+00  0.12854930E+01  0.25709860E+01  0.00000000E+00     1
   180     1    23        3        2     0.10602727E+03  0.10542330E+03  0.50000000E+00  0.60396953E+00  0.12079391E+01  0.00000000E+00     1
   180     1    22        3        2     0.10727125E+03  0.10729449E+03  0.50000000E+00 -0.23238684E-01 -0.46477367E-01  0.00000000E+00     1
   180     1    21        3        2     0.10847894E+03  0.10826049E+03  0.50000000E+00  0.21844606E+00  0.43689212E+00  0.00000000E+00     1
