% Shemat-Suite version: Shem-FW/AD/SM 7.50 (Smarty)                                                     
%          build: Do 18. Apr 09:27:33 CEST 2019           
%   build command line: gmake fw nohdf PROPS=basc COMPTYPE=ling64                                                                                                                                                                                                                       
%        Project: "salt_small"
%
% <time step> <deltat> <cum time>
%    <iteration> <delta head> <delta temp> (<delta conc> ...)
         26 -0.74575368E-08  0.10000000E-20 -0.79991569E-13
         27  0.26125591E-08  0.10000000E-20 -0.10724754E-12
         28 -0.17312942E-08  0.10000000E-20  0.10175194E-12
         29  0.12963994E-08  0.10000000E-20 -0.86125551E-13
         30  0.25740619E-08  0.10000000E-20  0.60451644E-13
         31 -0.58486904E-09  0.10000000E-20 -0.77826634E-13
         32 -0.57052318E-09  0.10000000E-20  0.60729199E-13
       5  0.388800E+05  0.235000E+01
          1  0.39389860E-08  0.10000000E-20 -0.35507905E-01
          2  0.70065769E-03  0.10000000E-20  0.11095089E-03
          3  0.45127253E-05  0.10000000E-20  0.57455125E-06
          4 -0.19958136E-07  0.10000000E-20  0.40613072E-08
          5  0.11797276E-07  0.10000000E-20  0.26286612E-10
          6 -0.76798301E-09  0.10000000E-20  0.31161185E-12
          7  0.24380071E-08  0.10000000E-20  0.61783911E-13
          8 -0.47377640E-08  0.10000000E-20 -0.56066263E-13
          9  0.66098025E-08  0.10000000E-20 -0.60118577E-13
         10 -0.26087079E-08  0.10000000E-20 -0.11030066E-12
         11 -0.35682604E-08  0.10000000E-20  0.79020124E-13
         12  0.37401264E-08  0.10000000E-20 -0.43687276E-13
       6  0.388800E+05  0.280000E+01
          1 -0.52971885E-08  0.10000000E-20 -0.26769715E-01
          2 -0.58761381E-03  0.10000000E-20  0.75791372E-04
          3  0.33861075E-05  0.10000000E-20  0.35146101E-06
          4  0.80645748E-08  0.10000000E-20  0.23777371E-08
          5 -0.60837451E-08  0.10000000E-20  0.14734824E-10
          6  0.31791174E-08  0.10000000E-20 -0.17430501E-12
          7 -0.51716427E-08  0.10000000E-20  0.90066843E-13
          8  0.36033114E-08  0.10000000E-20 -0.68278716E-13
          9  0.27267788E-09  0.10000000E-20 -0.63143935E-13
         10 -0.57406169E-09  0.10000000E-20  0.56066263E-13
         11  0.30109533E-08  0.10000000E-20 -0.44853010E-13
         12 -0.35970942E-08  0.10000000E-20  0.61894934E-13
         13 -0.45661750E-08  0.10000000E-20 -0.68223205E-13
         14  0.73253688E-08  0.10000000E-20  0.40273340E-13
         15 -0.11789254E-08  0.10000000E-20  0.58592020E-13
         16  0.58051342E-11  0.10000000E-20  0.84071639E-13
       7  0.388800E+05  0.325000E+01
          1 -0.48530282E-08  0.10000000E-20 -0.20872429E-01
          2  0.51884212E-03  0.10000000E-20  0.54759281E-04
          3  0.25626991E-05  0.10000000E-20  0.22448498E-06
          4 -0.63772703E-08  0.10000000E-20 -0.16814128E-08
          5 -0.16114754E-08  0.10000000E-20 -0.92554853E-11
          6  0.80295735E-08  0.10000000E-20 -0.13158918E-12
          7  0.29716816E-08  0.10000000E-20 -0.79547480E-13
          8 -0.35945078E-08  0.10000000E-20 -0.40273340E-13
          9  0.11620642E-08  0.10000000E-20 -0.45352611E-13
         10  0.12840289E-08  0.10000000E-20 -0.38621883E-13
         11 -0.30125733E-08  0.10000000E-20  0.38968828E-13
         12  0.11585684E-08  0.10000000E-20 -0.49502069E-13
         13 -0.14800605E-09  0.10000000E-20 -0.40689674E-13
         14 -0.15749961E-08  0.10000000E-20  0.59646732E-13
         15 -0.17127348E-08  0.10000000E-20  0.59147132E-13
         16 -0.15666686E-08  0.10000000E-20  0.58897331E-13
         17  0.14396377E-08  0.10000000E-20 -0.51236793E-13
         18 -0.22997426E-08  0.10000000E-20  0.55538907E-13
         19  0.63137620E-08  0.10000000E-20 -0.48766546E-13
         20 -0.14616290E-08  0.10000000E-20 -0.12193024E-12
         21 -0.70914297E-09  0.10000000E-20  0.47961635E-13
         22  0.14605206E-09  0.10000000E-20 -0.48600013E-13
         23 -0.36237680E-12  0.10000000E-20 -0.32279734E-13
       8  0.388800E+05  0.370000E+01
          1  0.25765203E-08  0.10000000E-20 -0.16732346E-01
          2  0.45923353E-03  0.10000000E-20 -0.41392278E-04
          3  0.19612003E-05  0.10000000E-20  0.14776666E-06
          4 -0.60583645E-08  0.10000000E-20 -0.11856596E-08
          5  0.23453097E-08  0.10000000E-20 -0.62102684E-11
          6 -0.17291200E-08  0.10000000E-20 -0.80629947E-13
          7  0.37319552E-08  0.10000000E-20  0.42382764E-13
          8 -0.14493651E-08  0.10000000E-20  0.43826054E-13
          9  0.20108217E-08  0.10000000E-20  0.33417713E-13
         10 -0.86754426E-09  0.10000000E-20 -0.47281623E-13
         11 -0.32905234E-08  0.10000000E-20  0.62505556E-13
         12  0.47414730E-08  0.10000000E-20 -0.60451644E-13
         13 -0.46053756E-08  0.10000000E-20  0.50487392E-13
       9  0.388800E+05  0.415000E+01
          1  0.48562185E-08  0.10000000E-20 -0.13716121E-01
          2  0.40651083E-03  0.10000000E-20 -0.33570554E-04
          3  0.15033195E-05  0.10000000E-20 -0.10074552E-06
          4 -0.41161314E-08  0.10000000E-20 -0.81387727E-09
          5  0.67642603E-08  0.10000000E-20 -0.39486608E-11
          6 -0.23214497E-08  0.10000000E-20  0.76730289E-13
          7  0.29701397E-09  0.10000000E-20 -0.40759063E-13
          8 -0.47261040E-08  0.10000000E-20  0.57370775E-13
          9 -0.52789701E-08  0.10000000E-20  0.40689674E-13
         10  0.58956999E-08  0.10000000E-20  0.44214632E-13
         11  0.25515376E-08  0.10000000E-20  0.66169292E-13
