%       "time"           "x"            "y"           "z"      "uindex"    "i"  "j"  "k"          "head"           "temp"           "pres"    "satn"           "epot"             "vx"             "vy"             "vz"          "bhpr"            "kz" 
%
  0.140000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19936541E+02   0.20000000E+02   0.19747746E+00   0.00000000E+00   0.00000000E+00   0.33569723E-07  -0.67926784E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.140000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19999652E+02   0.20000000E+02   0.19809659E+00   0.00000000E+00   0.00000000E+00   0.28673901E-09   0.16031976E-17   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.175000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.18759288E+02   0.20000000E+02   0.18592861E+00   0.00000000E+00   0.00000000E+00   0.77519030E-06  -0.89038456E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.175000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.19146071E+02   0.20000000E+02   0.18972296E+00   0.00000000E+00   0.00000000E+00   0.44525517E-06  -0.19205261E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.175000000E+00  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19583106E+02   0.20000000E+02   0.19401027E+00   0.00000000E+00   0.00000000E+00   0.19443370E-06   0.59091771E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.175000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19909749E+02   0.20000000E+02   0.19721463E+00   0.00000000E+00   0.00000000E+00   0.42912503E-07  -0.39191210E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.175000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19999273E+02   0.20000000E+02   0.19809287E+00   0.00000000E+00   0.00000000E+00   0.53361898E-09  -0.21782576E-17   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.210000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.18680290E+02   0.20000000E+02   0.18515365E+00   0.00000000E+00   0.00000000E+00   0.77994111E-06  -0.87729759E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.210000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.19071091E+02   0.20000000E+02   0.18898740E+00   0.00000000E+00   0.00000000E+00   0.45256698E-06  -0.49125807E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.210000000E+00  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19521773E+02   0.20000000E+02   0.19340859E+00   0.00000000E+00   0.00000000E+00   0.20499797E-06  -0.90685219E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
